eventNumber,eventName
1,フレンドシップ120
2,フレンドシップ100
3,フレンドシップ80
4,中障害飛越競技Ｄ(公認)
5,中障害飛越競技Ｄ(一般)
6,中障害飛越競技Ｃ(公認)
7,中障害飛越競技Ｃ(一般)
8,中障害飛越競技Ｂ(公認)
9,中障害飛越競技Ｂ(一般)
10,小障害飛越競技80
11,小障害飛越競技90
12,小障害飛越競技100
13,グランプリ馬場馬術競技
14,ジュニアライダー馬場馬術競技
15,インターメディエイトⅠ馬場馬術競技(一般)
16,馬場馬術５A(公認)
17,馬場馬術５A(一般)
18,ｾﾝﾄｼﾞｮｰｼﾞ賞典馬場馬術競技(公認)
19,ｾﾝﾄｼﾞｮｰｼﾞ賞典馬場馬術競技(一般)
20,馬場馬術４A(公認)
21,馬場馬術４A(一般)
22,馬場馬術３A(公認)
23,馬場馬術３A(一般)
24,ヤングライダー馬場馬術競技(公認）
25,馬場馬術２Ｂ
26,馬場馬術２Ｃ
27,選択自由演技馬場馬術競技
28,選択馬場馬術課目
29,パラ馬術競技
30,クロス障害
31,小障害飛越競技70
32,小障害飛越競技80
33,小障害飛越競技90
34,小障害飛越競技100
35,中障害飛越競技Ｄ(公認)
36,中障害飛越競技Ｄ(一般)
37,中障害飛越競技Ｃ(公認)
38,中障害飛越競技Ｃ(一般)
39,中障害飛越競技Ｂ(公認)
40,中障害飛越競技Ｂ(一般)
41,ジムカーナ競技
42,グランプリ馬場馬術競技
43,ジュニアライダー馬場馬術競技
44,インターメディエイトⅠ馬場馬術競技(公認)
45,インターメディエイトⅠ馬場馬術競技(一般)
46,馬場馬術５B(公認)
47,馬場馬術５B(一般)
48,ｾﾝﾄｼﾞｮｰｼﾞ賞典馬場馬術競技(公認)
49,ｾﾝﾄｼﾞｮｰｼﾞ賞典馬場馬術競技(一般)
50,馬場馬術４B(公認)
51,馬場馬術４B(一般)
52,馬場馬術３B(公認)
53,馬場馬術３B(一般)
54,ヤングライダー馬場馬術競技(公認）
55,馬場馬術２Ｂ
56,馬場馬術２Ｃ
57,選択自由演技馬場馬術競技
58,選択馬場馬術課目
59,パラ馬術競技
60,中障害飛越競技Ｄ(公認)
61,中障害飛越競技Ｄ(一般)
62,中障害飛越競技Ｃ(公認)
63,中障害飛越競技Ｃ(一般)
64,中障害飛越競技Ｂ(公認)
65,中障害飛越競技Ｂ(一般)
66,クロス障害
67,小障害飛越競技70
68,小障害飛越競技80
69,小障害飛越競技90
70,小障害飛越競技100
71,ジムカーナ競技